,features,labels
611,[0.15416705 0.06080234 0.06326218 ... 0.1678222  0.09412362 0.14416962],Carcinoma
612,[0.23093869 0.10430128 0.08056866 ... 0.13312715 0.23973843 0.16181524],Carcinoma
613,[0.10748209 0.10453174 0.23980918 ... 0.02250976 0.03854604 0.        ],Carcinoma
614,[0.24732636 0.24732636 0.12473512 ... 0.06195228 0.07391588 0.04787539],Carcinoma
615,[0.26742475 0.02911962 0.02407361 ... 0.21291875 0.16910516 0.16101158],Carcinoma
616,[0. 0. 0. ... 0. 0. 0.],Carcinoma
617,[0.22045234 0.09978921 0.19863336 ... 0.02105754 0.15109806 0.18478889],Carcinoma
618,[0. 0. 0. ... 0. 0. 0.],Carcinoma
619,[0.21846087 0.11785346 0.06828005 ... 0.         0.18474555 0.10607062],Carcinoma
620,[0.19583616 0.10302387 0.16862486 ... 0.10843    0.1584533  0.1525501 ],Carcinoma
621,[0.2243269  0.14072491 0.12923344 ... 0.00850597 0.01413484 0.04082965],Carcinoma
622,[0.24850723 0.18999148 0.11357533 ... 0.06051106 0.16294439 0.22905959],Carcinoma
623,[0.23948642 0.20864051 0.24770806 ... 0.15236165 0.13009874 0.20717088],Carcinoma
624,[0.34627374 0.3177566  0.07995587 ... 0.07758231 0.01011774 0.        ],Carcinoma
625,[0.21486872 0.21486872 0.21486872 ... 0.075093   0.12300187 0.06068956],Carcinoma
626,[0.22891524 0.18429034 0.06223349 ... 0.09109245 0.15154625 0.23740177],Carcinoma
627,[0.22958499 0.22958499 0.2062465  ... 0.09742167 0.06084786 0.16369342],Carcinoma
628,[0. 0. 0. ... 0. 0. 0.],Carcinoma
629,[0.23768857 0.07011972 0.15407598 ... 0.13076464 0.09027215 0.10861629],Carcinoma
630,[0.23491319 0.16378392 0.1474779  ... 0.14429914 0.2312561  0.14687523],Carcinoma
631,[0. 0. 0. ... 0. 0. 0.],Carcinoma
632,[0.14412039 0.06411233 0.11020023 ... 0.09067049 0.1112785  0.13843028],Carcinoma
633,[0.17204359 0.11916459 0.10705044 ... 0.17552195 0.07102155 0.08972728],Carcinoma
634,[0.18219899 0.04701394 0.09642775 ... 0.0899235  0.02813983 0.01563605],Carcinoma
635,[0.28386625 0.17234768 0.02758843 ... 0.04067899 0.04693937 0.01508715],Carcinoma
636,[0.24176337 0.24176337 0.24176337 ... 0.18708516 0.07710002 0.        ],Carcinoma
637,[0.25125345 0.21294296 0.2421514  ... 0.1478061  0.09766398 0.12169232],Carcinoma
638,[0.21736634 0.11945535 0.12369681 ... 0.09885538 0.14213598 0.10189533],Carcinoma
639,[0.2722942  0.10852337 0.12980551 ... 0.06470457 0.09425126 0.02143404],Carcinoma
640,[0. 0. 0. ... 0. 0. 0.],Carcinoma
641,[0.22160678 0.17652451 0.09647155 ... 0.05446901 0.09763383 0.05106711],Carcinoma
642,[0.39054599 0.25474235 0.12636987 ... 0.01616444 0.04229482 0.02334397],Carcinoma
643,[0.24431895 0.05897689 0.06372429 ... 0.21917008 0.25617005 0.25617005],Carcinoma
644,[0.24858003 0.12824027 0.07734291 ... 0.02530376 0.05318197 0.16020549],Carcinoma
645,[0.00347447 0.         0.         ... 0.         0.         0.        ],Carcinoma
646,[0.22768305 0.18086707 0.13501795 ... 0.00765794 0.01382061 0.03443138],Carcinoma
647,[0.06204065 0.02224585 0.04236672 ... 0.08676826 0.08917422 0.01475687],Carcinoma
648,[0.22338819 0.06857158 0.14618806 ... 0.09272471 0.11661586 0.19427171],Carcinoma
649,[0.22203231 0.09375371 0.13108554 ... 0.07487979 0.22592859 0.20843973],Carcinoma
650,[0.06593809 0.0890487  0.24076919 ... 0.06328459 0.17332667 0.28673362],Carcinoma
651,[0.1979166  0.23487763 0.15064991 ... 0.19768946 0.15469586 0.07356546],Carcinoma
652,[0.22327403 0.20478935 0.14937796 ... 0.08073287 0.11995754 0.07869232],Carcinoma
653,[0.15297364 0.14175496 0.2151251  ... 0.22460625 0.1156613  0.24387502],Carcinoma
654,[0.26162715 0.08248389 0.17907283 ... 0.04582842 0.12510485 0.09394272],Carcinoma
655,[0.25371645 0.08061062 0.06045224 ... 0.08446351 0.07513695 0.07724353],Carcinoma
656,[0. 0. 0. ... 0. 0. 0.],Carcinoma
657,[0. 0. 0. ... 0. 0. 0.],Carcinoma
658,[0.22376844 0.04046039 0.17324194 ... 0.10673951 0.1436427  0.14675784],Carcinoma
659,[0.25154029 0.10984114 0.00503905 ... 0.22651024 0.16936061 0.17599312],Carcinoma
660,[0.18540694 0.14652782 0.1336965  ... 0.10709343 0.21738276 0.14856854],Carcinoma
661,[0.20751758 0.13592382 0.14176157 ... 0.0411391  0.08916921 0.22077789],Carcinoma
662,[0. 0. 0. ... 0. 0. 0.],Carcinoma
663,[0. 0. 0. ... 0. 0. 0.],Carcinoma
664,[0.3363703  0.15973834 0.0268255  ... 0.14663852 0.22118618 0.20356436],Carcinoma
665,[0.26355797 0.04170441 0.         ... 0.05282039 0.23797297 0.19210792],Carcinoma
666,[0.15349755 0.19310938 0.25503411 ... 0.1183846  0.06800944 0.11847349],Carcinoma
667,[0. 0. 0. ... 0. 0. 0.],Carcinoma
668,[0.19291483 0.1854614  0.1559822  ... 0.09124276 0.10285778 0.09591931],Carcinoma
669,[0. 0. 0. ... 0. 0. 0.],Carcinoma
670,[0.23294548 0.2317238  0.1361443  ... 0.11542383 0.06047466 0.1096167 ],Carcinoma
671,[0.22964997 0.18785058 0.12848273 ... 0.14350264 0.22104252 0.22104252],Carcinoma
672,[0.23560945 0.11747497 0.12982485 ... 0.19177345 0.21111977 0.08525862],Carcinoma
673,[0.18048071 0.         0.12761914 ... 0.09098338 0.12181747 0.0900271 ],Carcinoma
674,[0.21635875 0.03931911 0.03120579 ... 0.0497156  0.01347711 0.01616935],Carcinoma
675,[0.10715186 0.00841753 0.05844952 ... 0.061772   0.04062446 0.09705072],Carcinoma
676,[0. 0. 0. ... 0. 0. 0.],Carcinoma
677,[0.23600478 0.07380608 0.23600478 ... 0.20669128 0.21123302 0.21358406],Carcinoma
678,[0.24473848 0.24473848 0.24473848 ... 0.02634988 0.04537264 0.05036677],Carcinoma
679,[0.18099616 0.05348323 0.04166479 ... 0.12506299 0.08355573 0.03152888],Carcinoma
680,[0.12925785 0.25453364 0.20498453 ... 0.11798187 0.10575821 0.08193629],Carcinoma
681,[0.32042614 0.09764349 0.11159707 ... 0.05342181 0.09173486 0.43135423],Carcinoma
682,[0.1992802  0.15736427 0.18517136 ... 0.05768388 0.16765405 0.16440926],Carcinoma
683,[0.22468216 0.10499659 0.11557787 ... 0.21398151 0.22227615 0.17158892],Carcinoma
684,[0.20857374 0.19260448 0.16640395 ... 0.10576014 0.05735355 0.10105671],Carcinoma
685,[0. 0. 0. ... 0. 0. 0.],Carcinoma
686,[0.23226413 0.15917171 0.12900698 ... 0.06034181 0.13964954 0.21424143],Carcinoma
687,[0.22074936 0.18123056 0.20293048 ... 0.14916678 0.13844046 0.08143707],Carcinoma
688,[0.16426027 0.01418238 0.01083777 ... 0.19440312 0.24647564 0.24647564],Carcinoma
689,[0.24753823 0.10287949 0.17480176 ... 0.17655621 0.07742516 0.08213295],Carcinoma
690,[0.21634161 0.15365542 0.15784846 ... 0.09996976 0.21366129 0.11047185],Carcinoma
691,[0.00482275 0.00650877 0.03267125 ... 0.01376261 0.0046986  0.        ],Carcinoma
692,[0.24915015 0.18151215 0.1843477  ... 0.2413056  0.17697738 0.06896306],Carcinoma
693,[0.12610337 0.12958667 0.2157386  ... 0.11031664 0.10780506 0.14171066],Carcinoma
694,[0.21777022 0.07682657 0.11544373 ... 0.14300958 0.16641694 0.03486555],Carcinoma
695,[0.25931059 0.02801758 0.06324172 ... 0.         0.         0.        ],Carcinoma
696,[0.25386373 0.25386373 0.25386373 ... 0.07035345 0.08688037 0.10066467],Carcinoma
697,[0.2236118  0.0841372  0.06345752 ... 0.09942227 0.0917944  0.03037758],Carcinoma
698,[0.22333367 0.09731731 0.1532566  ... 0.12433934 0.08467733 0.03243859],Carcinoma
699,[0.22468337 0.05053256 0.11001863 ... 0.17034557 0.224535   0.19677658],Carcinoma
700,[0.54019129 0.         0.00136587 ... 0.01081772 0.00155494 0.        ],Carcinoma
701,[0.         0.         0.         ... 0.17580344 0.19572382 0.11158097],Carcinoma
702,[0.20407252 0.11449115 0.07772223 ... 0.07890235 0.10420954 0.0675336 ],Carcinoma
703,[0. 0. 0. ... 0. 0. 0.],Carcinoma
704,[0.2334963  0.10345432 0.20727807 ... 0.05072273 0.1138013  0.09675179],Carcinoma
705,[0.22562753 0.03435309 0.04792411 ... 0.11399826 0.10718374 0.01308498],Carcinoma
706,[0.27318272 0.27318272 0.27318272 ... 0.24709678 0.20791466 0.28266324],Carcinoma
707,[0.34558641 0.34186568 0.28057859 ... 0.04451155 0.01770613 0.14368692],Carcinoma
708,[0.29325991 0.09902162 0.01565669 ... 0.09339706 0.16147297 0.11609802],Carcinoma
709,[0.33259315 0.         0.11348665 ... 0.08568713 0.04063622 0.12816876],Carcinoma
710,[0.1614753  0.04131897 0.0568979  ... 0.1800303  0.13647215 0.12106302],Carcinoma
711,[0.35045886 0.35045886 0.00233339 ... 0.00857273 0.0134422  0.11859584],Carcinoma
712,[0.24084925 0.09382277 0.07291464 ... 0.14854118 0.10174093 0.05059165],Carcinoma
713,[0.21944818 0.         0.03261018 ... 0.2225361  0.13804901 0.02435928],Carcinoma
714,[0.20313945 0.16243764 0.15001683 ... 0.19995674 0.08776877 0.2298011 ],Carcinoma
715,[0.23972592 0.16748485 0.1065903  ... 0.11774874 0.19700791 0.20521977],Carcinoma
716,[0.3113369  0.07132203 0.05005976 ... 0.23840106 0.23840106 0.06139319],Carcinoma
717,[0.23787579 0.23787579 0.14214449 ... 0.23762576 0.23762576 0.16716637],Carcinoma
718,[0.11454614 0.14689577 0.23854341 ... 0.1300386  0.2218111  0.08322397],Carcinoma
719,[0.20565829 0.07243522 0.05641105 ... 0.14744746 0.10680373 0.09042518],Carcinoma
720,[0.25449847 0.05187219 0.13058573 ... 0.02629123 0.06389866 0.05484857],Carcinoma
721,[0.26764486 0.11545081 0.07184925 ... 0.15950477 0.23733417 0.23733417],Carcinoma
722,[0.52777492 0.01461095 0.00409988 ... 0.00330968 0.00505457 0.35934334],Carcinoma
723,[0.24364427 0.10155625 0.06714917 ... 0.13990985 0.1995007  0.21200271],Carcinoma
724,[0.14188575 0.15757687 0.03337984 ... 0.19903573 0.06551959 0.20959655],Carcinoma
725,[0.29440558 0.29440558 0.24936269 ... 0.1468229  0.22608169 0.12800313],Carcinoma
726,[0.26558373 0.1214947  0.11283527 ... 0.19318371 0.12902472 0.22457418],Carcinoma
727,[0.23757902 0.23757902 0.12589385 ... 0.16691671 0.15674053 0.11435206],Carcinoma
728,[0. 0. 0. ... 0. 0. 0.],Carcinoma
729,[0.21597117 0.10555117 0.11188591 ... 0.06675881 0.2037581  0.24588604],Carcinoma
730,[0.09737534 0.01889073 0.         ... 0.21407877 0.14801678 0.21407877],Carcinoma
731,[0.25482741 0.25482741 0.25482741 ... 0.14845139 0.21247304 0.21841027],Carcinoma
732,[0.14573117 0.2833751  0.11993081 ... 0.12315393 0.11696221 0.06088227],Carcinoma
733,[0.22608641 0.0941571  0.17389955 ... 0.0510472  0.17490471 0.21421004],Carcinoma
734,[0.1886831  0.08127218 0.22463614 ... 0.11671183 0.17353696 0.10396732],Carcinoma
735,[0.23664303 0.24434088 0.15355612 ... 0.11591192 0.09870437 0.15241372],Carcinoma
736,[0.21813017 0.10268872 0.15068468 ... 0.12360659 0.15386824 0.11805472],Carcinoma
737,[0.11670894 0.03098607 0.2064833  ... 0.17850135 0.11630927 0.03154373],Carcinoma
738,[0.245518   0.22804709 0.245518   ... 0.23803938 0.12102075 0.0728433 ],Carcinoma
739,[0.10102944 0.13476538 0.19442523 ... 0.07692599 0.20803865 0.12699395],Carcinoma
740,[0.22155867 0.18100486 0.08393803 ... 0.06869194 0.06033082 0.08402513],Carcinoma
741,[0.25650604 0.04611608 0.04103309 ... 0.         0.         0.        ],Carcinoma
742,[0.2011686  0.22682382 0.14902036 ... 0.13946139 0.25395589 0.07597838],Carcinoma
743,[0.2254405  0.09364166 0.02294973 ... 0.07035867 0.16381818 0.19969834],Carcinoma
744,[0.2555751  0.10482357 0.1239948  ... 0.1096008  0.10652931 0.03034276],Carcinoma
745,[0.22522305 0.14308132 0.11063982 ... 0.12135056 0.03239972 0.0397135 ],Carcinoma
746,[0.         0.         0.         ... 0.37147874 0.03058046 0.00510048],Carcinoma
747,[0.35838578 0.35838578 0.         ... 0.22008792 0.24224508 0.24224508],Carcinoma
748,[0.22685417 0.18220547 0.12493325 ... 0.22241159 0.16379006 0.16752303],Carcinoma
749,[0.21214801 0.15965661 0.16123256 ... 0.1520526  0.15586727 0.10867571],Carcinoma
750,[0.10977273 0.18565004 0.12915576 ... 0.16914781 0.07403386 0.07088652],Carcinoma
751,[0.12331131 0.02922397 0.05301702 ... 0.18070925 0.0792817  0.02096996],Carcinoma
752,[0.27726903 0.27726903 0.27726903 ... 0.27368397 0.1273584  0.27650702],Carcinoma
753,[0.33931437 0.12011532 0.33931437 ... 0.01129619 0.0197106  0.2059291 ],Carcinoma
754,[0.09598575 0.15094853 0.18136449 ... 0.11968283 0.10474994 0.06240674],Carcinoma
755,[0.31275404 0.04565811 0.01443836 ... 0.11897516 0.20818777 0.08854467],Carcinoma
756,[0.38431367 0.         0.03687151 ... 0.18933948 0.08140721 0.07579969],Carcinoma
757,[0.35165323 0.27683309 0.03406396 ... 0.00287494 0.01777946 0.19562711],Carcinoma
758,[0.24006122 0.05119495 0.08459501 ... 0.16710289 0.23117383 0.22429405],Carcinoma
759,[0.21381076 0.03040207 0.05214677 ... 0.23225567 0.16798851 0.01766984],Carcinoma
760,[0.24368044 0.06114954 0.07527227 ... 0.20028644 0.17238888 0.06943162],Carcinoma
761,[0.3190683  0.02301721 0.07278682 ... 0.08764044 0.13895769 0.12485504],Carcinoma
762,[0.19119248 0.21469306 0.09389515 ... 0.20830551 0.32866211 0.32640021],Carcinoma
763,[0.04119212 0.03007485 0.01542215 ... 0.12424106 0.23063454 0.19396641],Carcinoma
764,[0.0291409  0.00465436 0.00883103 ... 0.1996849  0.22562307 0.12583747],Carcinoma
765,[0.07210063 0.14080658 0.17509189 ... 0.12763681 0.18497783 0.26786911],Carcinoma
766,[0.22201498 0.06744114 0.06084095 ... 0.20894684 0.10599975 0.06679236],Carcinoma
767,[0.07534716 0.03795733 0.05658629 ... 0.12166165 0.13337458 0.04472499],Carcinoma
768,[0.17916667 0.11163341 0.0769636  ... 0.11574203 0.03431329 0.03235088],Carcinoma
769,[0.20121699 0.13321604 0.0553577  ... 0.09778259 0.16658595 0.21269029],Carcinoma
770,[0.15091523 0.0970362  0.05270823 ... 0.20384078 0.22261638 0.10531939],Carcinoma
771,[0.22606988 0.2380736  0.18309673 ... 0.04812285 0.1360864  0.16785731],Carcinoma
772,[0.26464413 0.08136408 0.12992959 ... 0.21252782 0.10458076 0.22458719],Carcinoma
773,[0.26231353 0.01948084 0.05348709 ... 0.20419733 0.19409591 0.20000116],Carcinoma
774,[0.31395669 0.1943916  0.30323518 ... 0.21652364 0.11152085 0.16227187],Carcinoma
775,[0.24014554 0.17087525 0.04033329 ... 0.21209219 0.17573161 0.09230903],Carcinoma
776,[0.21438691 0.21128    0.16238783 ... 0.23015124 0.13528551 0.06653846],Carcinoma
777,[0.18946887 0.0366276  0.03899792 ... 0.20339327 0.21916497 0.07818226],Carcinoma
778,[0.22791629 0.15707515 0.13699651 ... 0.07912208 0.10741838 0.25419268],Carcinoma
779,[0.21588914 0.15103742 0.14362904 ... 0.16521531 0.25678053 0.25678053],Carcinoma
780,[0.27736655 0.27736655 0.27736655 ... 0.06045515 0.         0.        ],Carcinoma
781,[0.22724421 0.11323151 0.17294564 ... 0.08219728 0.11899634 0.18657243],Carcinoma
782,[0.20439427 0.03738849 0.03308987 ... 0.04043576 0.06916875 0.07922312],Carcinoma
783,[0.2466127  0.2466127  0.18268314 ... 0.21784883 0.22908878 0.23868885],Carcinoma
784,[0.31726431 0.07277011 0.09204771 ... 0.2221071  0.23499279 0.23499279],Carcinoma
785,[0.14506173 0.16140642 0.23036079 ... 0.01418203 0.03706901 0.01826484],Carcinoma
786,[0.10322977 0.0687119  0.02421488 ... 0.22095759 0.28876518 0.28876518],Carcinoma
787,[0.23635438 0.1050974  0.07518094 ... 0.07728004 0.15711245 0.06028834],Carcinoma
788,[0.2104765  0.06812409 0.10293369 ... 0.20716517 0.22429037 0.05866843],Carcinoma
789,[0.14352449 0.05505488 0.12019584 ... 0.14942623 0.12700697 0.03702152],Carcinoma
790,[0.2417582  0.20719905 0.07469204 ... 0.05883921 0.07273055 0.23161705],Carcinoma
791,[0.21922659 0.08852008 0.15403332 ... 0.13047655 0.11180438 0.1366978 ],Carcinoma
792,[0.22260538 0.22260538 0.16693491 ... 0.09465305 0.10521128 0.10090231],Carcinoma
793,[0.20373953 0.21597574 0.21597574 ... 0.14006125 0.152505   0.21559834],Carcinoma
794,[0.2771627  0.04169142 0.11139413 ... 0.04864798 0.08400903 0.2998805 ],Carcinoma
795,[0.22300817 0.14982846 0.20139113 ... 0.09269271 0.17843989 0.05986731],Carcinoma
796,[0.32290479 0.08811921 0.15225843 ... 0.01702804 0.09025551 0.12250206],Carcinoma
797,[0.24972309 0.22836776 0.1798095  ... 0.05383145 0.04842283 0.16462879],Carcinoma
798,[0.24910766 0.21623668 0.24910766 ... 0.19221861 0.21460505 0.09345075],Eczema
799,[0.25889559 0.07083422 0.1471066  ... 0.         0.         0.50884722],Eczema
800,[0.28470731 0.18416761 0.16341841 ... 0.01569911 0.00612422 0.02477483],Eczema
801,[0.23637404 0.09435228 0.15023371 ... 0.09931044 0.1046824  0.03701082],Eczema
802,[0.23795101 0.23795101 0.23795101 ... 0.08354042 0.0943493  0.02668601],Eczema
803,[0.23381641 0.12272846 0.09983422 ... 0.25150163 0.02973057 0.11311445],Eczema
804,[0.35735612 0.         0.15128091 ... 0.10298962 0.         0.        ],Eczema
805,[0.28009746 0.10809366 0.02501516 ... 0.05380491 0.0645742  0.05973121],Eczema
806,[0.30273949 0.19757153 0.21817267 ... 0.08278974 0.05242411 0.02287988],Eczema
807,[0.04777348 0.23642309 0.20083944 ... 0.12988214 0.12233049 0.23894109],Eczema
808,[0.26833177 0.06521408 0.10603707 ... 0.04481443 0.05046943 0.10403286],Eczema
809,[0.23993228 0.1969312  0.22410723 ... 0.08762777 0.12123272 0.10353997],Eczema
810,[0.27785164 0.11064596 0.06098559 ... 0.09776957 0.         0.        ],Eczema
811,[0.36921311 0.02508073 0.00451872 ... 0.02502762 0.23018159 0.04810113],Eczema
812,[0.26981326 0.17344316 0.15787654 ... 0.10947119 0.23205435 0.16564278],Eczema
813,[0.24474154 0.16440639 0.13908741 ... 0.27337492 0.         0.        ],Eczema
814,[0.21419138 0.0957239  0.05469243 ... 0.04486661 0.         0.        ],Eczema
815,[0.28246034 0.09629511 0.02781845 ... 0.19719895 0.150729   0.14723805],Eczema
816,[0.1455116  0.         0.         ... 0.28828071 0.         0.        ],Eczema
817,[0.15197315 0.18001286 0.18569794 ... 0.33630517 0.29162914 0.09282607],Eczema
818,[0.22739973 0.07400917 0.18140011 ... 0.07846968 0.15318145 0.06574703],Eczema
819,[0.15491703 0.14012706 0.11108303 ... 0.0784844  0.15179942 0.06182657],Eczema
820,[0.26784937 0.19669417 0.10915494 ... 0.14569872 0.20168072 0.12055586],Eczema
821,[0.26585994 0.07080846 0.17146696 ... 0.05853035 0.25642962 0.21034777],Eczema
822,[0.35586085 0.         0.04913951 ... 0.04411876 0.07776851 0.0625731 ],Eczema
823,[0.22682349 0.22682349 0.22682349 ... 0.02998303 0.09220109 0.22888655],Eczema
824,[0.23280247 0.13842084 0.23280247 ... 0.09810261 0.09487008 0.13170046],Eczema
825,[0.39674778 0.00577462 0.00357072 ... 0.1923784  0.16137874 0.0926688 ],Eczema
826,[0.24247591 0.02470963 0.08935863 ... 0.10541841 0.1558038  0.22648421],Eczema
827,[0.25563507 0.18626591 0.25563507 ... 0.11232662 0.         0.        ],Eczema
828,[0.2906609  0.09300472 0.08842413 ... 0.07286812 0.1316422  0.16519775],Eczema
829,[0.33427941 0.05475067 0.05194104 ... 0.14054776 0.02432012 0.00893648],Eczema
830,[0.2298286  0.05537303 0.0692097  ... 0.11124232 0.0219862  0.        ],Eczema
831,[0.29951345 0.05614663 0.06965673 ... 0.08529993 0.09094345 0.08777187],Eczema
832,[0.37406285 0.         0.05307748 ... 0.00777872 0.         0.00869687],Eczema
833,[0.31807492 0.         0.         ... 0.02479335 0.         0.10750399],Eczema
834,[0.         0.         0.         ... 0.21575964 0.21575964 0.07545481],Eczema
835,[0.5110001  0.         0.         ... 0.06249702 0.12994866 0.28088269],Eczema
836,[0.29958805 0.03055572 0.02871166 ... 0.45288497 0.         0.        ],Eczema
837,[0.42435133 0.         0.         ... 0.41113161 0.41113161 0.2300926 ],Eczema
838,[0.28627158 0.05610726 0.06361894 ... 0.03000231 0.05037521 0.18873755],Eczema
839,[0.14810034 0.09658903 0.08726896 ... 0.07840094 0.1439962  0.04860081],Eczema
840,[0.23423189 0.19421628 0.10236418 ... 0.06662825 0.11908063 0.08760928],Eczema
841,[0.24967    0.12786982 0.18966311 ... 0.10805524 0.08542518 0.        ],Eczema
842,[0.27502247 0.03602041 0.27434436 ... 0.         0.         0.        ],Eczema
843,[0.21125517 0.16533331 0.25708532 ... 0.112135   0.01662336 0.01457966],Eczema
844,[0.22717625 0.18638697 0.20305824 ... 0.05428749 0.04813118 0.15958567],Eczema
845,[0.0793175  0.04942912 0.12944137 ... 0.00715327 0.02611571 0.019994  ],Eczema
846,[0.17181214 0.04442423 0.03918704 ... 0.06563201 0.15229371 0.25039061],Eczema
847,[0.25437842 0.03683664 0.05893138 ... 0.01461781 0.01522952 0.01365143],Eczema
848,[0.35124341 0.02857537 0.         ... 0.2365812  0.22295201 0.12314242],Eczema
849,[0.13839712 0.31870375 0.31870375 ... 0.22427601 0.07817203 0.13988058],Eczema
850,[0.19686834 0.09196839 0.16736123 ... 0.06408406 0.06860531 0.04289749],Eczema
851,[0.29450925 0.04467589 0.02563846 ... 0.03834225 0.05794603 0.        ],Eczema
852,[0.04255519 0.00865057 0.07112433 ... 0.03017451 0.         0.        ],Eczema
853,[0.24766574 0.15211535 0.16997655 ... 0.2177882  0.13276888 0.0510499 ],Eczema
854,[0.2027846  0.03358816 0.04779678 ... 0.04769537 0.         0.        ],Eczema
855,[0.13256353 0.2306744  0.30460664 ... 0.00458208 0.04098354 0.10374199],Eczema
856,[0.31482998 0.05242237 0.22531357 ... 0.07956617 0.03898037 0.08333491],Eczema
857,[0.24271306 0.11459125 0.10656865 ... 0.09523836 0.07099311 0.03988657],Eczema
858,[0.34030411 0.18656399 0.09231846 ... 0.19193801 0.17537388 0.16158881],Eczema
859,[0.12920761 0.         0.         ... 0.02401167 0.         0.        ],Eczema
860,[0.04028964 0.00333668 0.09057387 ... 0.12477343 0.16748699 0.12754817],Eczema
861,[0.38832301 0.11260222 0.03463427 ... 0.01077986 0.10922627 0.39528187],Eczema
862,[0.25343111 0.25343111 0.20083279 ... 0.13523371 0.07815124 0.        ],Eczema
863,[0.11463454 0.10003635 0.18932759 ... 0.12775748 0.04099636 0.00918553],Eczema
864,[0.20470215 0.22429469 0.09915189 ... 0.01430931 0.03414304 0.06168432],Eczema
865,[0.22153612 0.19942662 0.24035326 ... 0.22183648 0.17143084 0.22183648],Eczema
866,[0.23016597 0.19825806 0.07019375 ... 0.19704839 0.15584382 0.14821611],Eczema
867,[0.24766146 0.24766146 0.10809076 ... 0.14504488 0.18353964 0.04218252],Eczema
868,[0.23733358 0.14194282 0.13369845 ... 0.04339167 0.0107174  0.05850267],Eczema
869,[0.13215438 0.03943333 0.03677865 ... 0.04230064 0.12383494 0.27893776],Eczema
870,[0.31400118 0.21896368 0.10863227 ... 0.24464497 0.21325327 0.09922906],Eczema
871,[0.2600065  0.1874811  0.13285989 ... 0.21915847 0.12260484 0.15930835],Eczema
872,[0.23647373 0.0211255  0.06048499 ... 0.04533716 0.10553479 0.23280254],Eczema
873,[0.36260384 0.26603358 0.0667832  ... 0.14599657 0.21882848 0.2662052 ],Eczema
874,[0.31752391 0.26266746 0.075868   ... 0.27880398 0.02107945 0.        ],Eczema
875,[0.18561965 0.05787618 0.11460223 ... 0.07343906 0.2616336  0.15414445],Eczema
876,[0.34241733 0.34241733 0.18337929 ... 0.20998027 0.07409901 0.26186394],Eczema
877,[0.06154793 0.         0.26112571 ... 0.26714977 0.26714977 0.26714977],Eczema
878,[0.27390956 0.04205283 0.02659654 ... 0.06826199 0.07195446 0.        ],Eczema
879,[0.27440966 0.27440966 0.27440966 ... 0.11400386 0.17062992 0.26420544],Eczema
880,[0.29807995 0.         0.         ... 0.06584614 0.04462716 0.01950278],Eczema
881,[0.29470238 0.01699995 0.02226009 ... 0.26470868 0.1961     0.        ],Eczema
882,[0.22490912 0.12305321 0.11477949 ... 0.16504677 0.13301772 0.16093924],Eczema
883,[0.29805149 0.12506965 0.04140292 ... 0.1111324  0.01255113 0.        ],Eczema
884,[0.42010171 0.         0.05024047 ... 0.         0.         0.        ],Eczema
885,[0.23873296 0.22712533 0.11432108 ... 0.13794527 0.07932389 0.26187924],Eczema
886,[0.30140157 0.         0.         ... 0.07137501 0.02507863 0.09804267],Eczema
887,[0.03152129 0.14515911 0.24837414 ... 0.         0.14644468 0.1600255 ],Eczema
888,[0.37310128 0.0637262  0.03022799 ... 0.0407977  0.06450684 0.06651074],Eczema
889,[0.15465925 0.09662714 0.09085324 ... 0.06461231 0.04169018 0.01723161],Eczema
890,[0.25223227 0.23610067 0.14036176 ... 0.1429447  0.12860382 0.12751334],Eczema
891,[0.05091261 0.         0.         ... 0.03126522 0.05952316 0.        ],Eczema
892,[0.40739124 0.09667817 0.13757543 ... 0.02677767 0.08781012 0.16349173],Eczema
893,[0.22546072 0.14694121 0.02816406 ... 0.06503163 0.05269676 0.07444739],Eczema
894,[0.19614499 0.08795831 0.11236583 ... 0.22303054 0.15919507 0.1381479 ],Eczema
895,[0.26070232 0.         0.04398908 ... 0.05338877 0.0194804  0.16855381],Eczema
896,[0.47490872 0.         0.         ... 0.13061903 0.08048785 0.11581864],Eczema
897,[0.28553449 0.         0.04433029 ... 0.04030254 0.         0.        ],Eczema
898,[0.17346778 0.06087727 0.10515942 ... 0.15758279 0.07118866 0.02516899],Eczema
899,[0.18942883 0.0040936  0.03072621 ... 0.17437617 0.2447156  0.10575079],Eczema
900,[0.2034081  0.03916028 0.04321257 ... 0.15756447 0.11921101 0.0501736 ],Eczema
901,[0.46258135 0.         0.01467412 ... 0.25344539 0.09259866 0.05664633],Eczema
902,[0.01864153 0.         0.00390564 ... 0.12769316 0.         0.        ],Eczema
903,[0.27616282 0.07320072 0.0652731  ... 0.06484792 0.03417786 0.        ],Eczema
904,[0.13459683 0.10339429 0.17071618 ... 0.01382159 0.01456923 0.        ],Eczema
905,[0.25226074 0.1210122  0.19469041 ... 0.04718981 0.1205059  0.20187343],Eczema
906,[0.33079018 0.13144045 0.33079018 ... 0.18739718 0.0790061  0.02178244],Eczema
907,[0.1029213  0.14356418 0.34475103 ... 0.03287915 0.04527074 0.02450667],Eczema
908,[0.5 0.  0.  ... 0.  0.  0. ],Eczema
909,[0.2225167  0.07961531 0.02596611 ... 0.19553602 0.24590417 0.17164732],Eczema
910,[0.30300329 0.         0.00228831 ... 0.20821691 0.11837977 0.18163957],Eczema
911,[0.08897645 0.17299247 0.25505076 ... 0.         0.         0.        ],Eczema
